,Item_Outlet_Sales,Item_Identifier,Outlet_Identifier
347,5713.354,FDF47,OUT027
348,2464.568,FDX32,OUT046
349,1571.2952,FDX57,OUT049
350,3034.9114,NCA30,OUT045
351,806.2917,FDO49,OUT013
352,293.38654,FDL04,OUT019
353,656.7881,DRM48,OUT035
354,3587.7163,FDR16,OUT013
355,2959.653,NCC19,OUT018
356,3199.1882,NCE42,OUT045
357,987.6079,FDY24,OUT017
358,2871.9148,FDH19,OUT049
359,2876.373,FDJ46,OUT013
360,457.94836,FDN45,OUT010
361,2104.6526,FDY08,OUT035
362,1420.966,FDZ37,OUT035
363,764.10156,NCT30,OUT045
364,523.05426,DRY23,OUT018
365,1757.6151,NCZ30,OUT018
366,1709.5144,FDC44,OUT018
367,1627.2769,FDB45,OUT035
368,2710.9827,FDY04,OUT013
369,2758.4617,FDM27,OUT046
370,4022.771,FDZ43,OUT017
371,416.86957,FDT39,OUT019
372,343.17462,NCC06,OUT019
373,3801.6433,FDL15,OUT027
374,4297.0405,FDL57,OUT017
375,1504.4207,FDU08,OUT046
376,4166.1978,FDK40,OUT017
377,578.2785,FDQ12,OUT010
378,2592.309,FDS48,OUT017
379,3426.2002,FDP09,OUT045
380,1709.4199,FDW21,OUT049
381,3085.6917,FDY25,OUT035
382,1410.174,DRE13,OUT017
383,48.567417,FDV43,OUT019
384,1793.0299,FDD22,OUT045
385,252.78252,FDM46,OUT019
386,508.64313,NCO30,OUT010
387,2833.9111,FDM25,OUT046
388,2086.625,NCN41,OUT049
389,1482.7327,FDU24,OUT045
390,3130.042,FDZ50,OUT046
391,4234.7764,FDP45,OUT013
392,2036.4567,NCM54,OUT045
393,456.05734,FDW10,OUT019
394,2114.5037,FDP20,OUT017
395,2481.528,FDK32,OUT046
396,1386.6456,FDN52,OUT049
397,1827.993,FDM58,OUT045
398,3007.3386,FDZ46,OUT027
399,1610.4786,NCA18,OUT018
400,2022.1561,FDD35,OUT046
401,842.29333,NCK31,OUT035
402,2675.0142,FDI40,OUT027
403,265.788,FDT50,OUT019
404,2689.782,NCT06,OUT046
405,3239.3733,FDT31,OUT035
406,880.7223,FDT45,OUT049
407,3148.5642,FDT13,OUT045
408,1394.0658,FDO50,OUT045
409,362.54367,NCU18,OUT010
410,3200.9617,NCR54,OUT049
411,2637.6448,NCO18,OUT018
412,863.90045,FDU09,OUT045
413,2870.4197,FDT13,OUT018
414,1820.805,FDE09,OUT046
415,292.65292,NCK53,OUT019
416,3549.649,FDG45,OUT049
417,706.8176,DRH15,OUT035
418,632.7825,FDO21,OUT019
419,5170.194,FDD14,OUT027
420,1632.8192,FDC09,OUT046
421,1088.2806,FDH45,OUT027
422,1029.8892,FDV32,OUT046
423,1934.2432,FDG12,OUT035
424,2112.8665,FDS32,OUT013
425,3500.505,NCL55,OUT018
426,3940.2383,DRE01,OUT035
427,1348.1483,DRE15,OUT049
428,3675.4646,NCL42,OUT045
429,890.69446,FDP31,OUT013
430,1362.9482,FDN33,OUT018
431,2586.8025,FDZ59,OUT046
432,360.21674,FDE45,OUT010
433,1895.9425,FDJ07,OUT013
434,2771.3455,FDQ45,OUT018
435,5564.033,FDM33,OUT027
436,178.01079,FDO15,OUT010
437,1530.2278,FDM46,OUT013
438,3490.1663,FDR03,OUT045
439,2445.457,FDY49,OUT018
440,1819.2185,FDQ60,OUT045
441,2719.6963,FDW10,OUT049
442,720.7218,FDO51,OUT049
443,1300.0024,FDJ40,OUT018
444,2836.481,FDS20,OUT018
445,1897.7878,FDU45,OUT013
446,2809.6636,FDV02,OUT035
447,3904.5999,FDN09,OUT046
448,5166.7715,NCM55,OUT027
449,2115.9043,FDN23,OUT018
450,264.76926,FDY31,OUT010
451,317.391,FDW03,OUT010
452,2972.197,FDD14,OUT046
453,2058.194,FDV23,OUT017
454,2797.822,DRI03,OUT045
455,1504.5687,FDN13,OUT035
456,1765.5907,FDF45,OUT027
457,1414.2086,FDU46,OUT035
458,3751.4434,FDB57,OUT049
459,1678.0386,FDV12,OUT049
460,2487.0757,FDQ58,OUT013
461,1937.509,NCA18,OUT017
462,1027.8901,FDH52,OUT049
463,2094.3977,FDM24,OUT018
464,4798.5713,NCP43,OUT027
465,474.08743,NCO18,OUT019
466,1457.2205,FDM32,OUT017
467,686.3399,NCL07,OUT017
468,4213.927,FDK03,OUT013
469,1597.815,FDP59,OUT017
470,4211.2627,FDQ24,OUT049
471,1451.8783,FDQ16,OUT018
472,2641.1245,FDU44,OUT013
473,50.63747,FDH28,OUT010
474,26.165882,FDV28,OUT019
475,882.7659,FDM22,OUT045
476,3135.5469,FDR56,OUT046
477,3176.762,FDV39,OUT049
478,216.62556,FDU37,OUT019
479,866.27216,FDQ11,OUT010
480,3719.4846,FDX02,OUT045
481,1294.9928,NCS42,OUT018
482,2583.0728,FDY57,OUT027
483,3911.0566,FDB21,OUT049
484,3928.901,FDE28,OUT017
485,1981.9957,FDQ55,OUT017
486,3807.8726,FDA48,OUT049
487,2777.3767,FDZ19,OUT045
488,3883.5845,NCC43,OUT045
489,1280.8787,NCV18,OUT046
490,2290.1257,NCA42,OUT018
491,4171.0522,FDY45,OUT046
492,2900.9622,NCC30,OUT045
493,1314.7192,FDM57,OUT013
494,289.9062,FDL09,OUT010
495,3273.112,FDB09,OUT027
496,1895.47,FDT44,OUT035
497,4153.385,NCT06,OUT027
498,3265.9607,FDX26,OUT049
499,2528.6047,FDK32,OUT013
500,2114.6265,DRA12,OUT046
501,636.0742,FDO46,OUT010
502,1385.8508,FDE52,OUT013
503,3872.4338,NCH42,OUT045
504,754.1561,FDV08,OUT035
505,3075.562,FDB47,OUT018
506,286.83212,FDC28,OUT010
507,1853.7758,FDD22,OUT046
508,3026.5315,FDS07,OUT027
509,3511.327,DRI13,OUT045
510,3233.8782,FDG32,OUT018
511,4127.4883,FDU14,OUT017
512,169.82903,FDD28,OUT019
513,1733.7301,NCP41,OUT017
514,2808.2253,FDS08,OUT049
515,2587.908,FDX47,OUT045
516,320.23624,FDC53,OUT019
517,4065.253,FDQ19,OUT035
518,2443.8516,FDL14,OUT045
519,588.7341,FDM33,OUT019
520,1852.9579,FDA51,OUT045
521,574.5987,FDZ27,OUT018
522,632.3284,FDT04,OUT046
523,2084.7683,DRC13,OUT049
524,5542.6646,FDR16,OUT027
525,6081.8076,FDQ03,OUT027
526,2783.6067,FDE38,OUT035
527,1727.9738,DRH23,OUT027
528,549.66626,FDT11,OUT019
529,3112.936,FDD09,OUT035
530,1300.8221,FDR40,OUT045
531,3334.3765,FDX07,OUT017
532,1501.526,FDR07,OUT035
533,1902.0077,FDA51,OUT017
534,610.977,FDT59,OUT019
535,3269.9138,FDF20,OUT017
536,1864.9512,FDR13,OUT045
537,3475.8577,FDY26,OUT049
538,2146.035,FDW04,OUT017
539,3805.6108,FDK52,OUT017
540,2658.786,FDN60,OUT049
541,469.0628,FDM09,OUT019
542,1373.3331,FDP46,OUT049
543,203.62007,FDB50,OUT019
544,4053.6208,NCQ29,OUT049
545,6254.3047,FDP16,OUT027
546,2371.4363,FDX33,OUT018
547,517.99554,FDP07,OUT010
548,3777.1587,FDN22,OUT046
549,4304.2524,FDF39,OUT049
550,1042.6312,FDS21,OUT017
551,1654.8734,NCM42,OUT013
552,401.56473,FDK50,OUT019
553,3797.5227,DRF13,OUT027
554,2257.9453,FDH35,OUT018
555,1403.4664,FDP60,OUT018
556,3368.1777,DRJ49,OUT027
557,393.3564,NCT42,OUT019
558,2744.961,FDE38,OUT049
559,3200.452,FDI04,OUT049
560,2577.0352,NCH54,OUT045
561,926.79425,FDT56,OUT049
562,3287.3064,DRD15,OUT018
563,2439.1206,FDV58,OUT013
564,3191.0972,FDP21,OUT049
565,3902.2622,FDH05,OUT013
566,4110.8896,FDR10,OUT027
567,2427.8628,NCP06,OUT045
568,1697.863,FDF33,OUT049
569,3464.2703,DRK37,OUT013
570,1263.6232,DRH49,OUT045
571,2711.3025,FDT58,OUT013
572,1421.9325,FDD41,OUT018
573,1622.4308,FDP40,OUT018
574,2682.407,FDM51,OUT027
575,260.5814,FDO45,OUT010
576,277.18417,FDW33,OUT010
577,1155.7693,FDY24,OUT045
578,539.5613,FDB10,OUT010
579,2149.3823,FDM40,OUT035
580,3031.943,NCI06,OUT017
581,329.53198,FDW12,OUT019
582,3835.63,FDX48,OUT027
583,2669.3423,NCW05,OUT027
584,1489.522,FDX27,OUT017
585,3121.418,DRM37,OUT045
586,3720.668,FDA38,OUT045
587,669.08325,FDR36,OUT046
588,3119.1194,FDZ45,OUT046
589,2614.117,FDG05,OUT017
590,4228.1733,FDK28,OUT013
591,1310.447,FDV47,OUT045
592,2531.7417,FDN21,OUT045
593,3317.758,FDP20,OUT027
594,3252.4788,FDI35,OUT045
595,685.96155,DRY23,OUT013
596,2112.8623,FDA56,OUT017
597,2056.7205,FDB09,OUT013
598,3010.8765,NCO26,OUT027
599,2237.915,FDQ49,OUT018
600,3247.488,FDI52,OUT027
601,3034.873,FDZ44,OUT027
602,2431.3203,FDZ09,OUT018
603,1953.5105,FDY03,OUT049
604,2205.5203,NCG42,OUT017
605,5620.225,DRI13,OUT027
606,2078.1445,FDQ32,OUT013
607,1513.3033,FDW16,OUT035
608,715.83203,FDU27,OUT046
609,420.5686,FDR28,OUT010
610,380.57956,FDQ49,OUT010
611,1866.8391,FDS37,OUT046
612,3169.6282,FDW26,OUT018
613,3419.0186,FDX12,OUT018
614,2455.093,NCP06,OUT013
615,310.4505,FDW45,OUT010
616,1546.4547,NCN30,OUT049
617,889.4536,FDN24,OUT049
618,1072.9604,NCL41,OUT027
619,329.5548,FDR02,OUT019
620,515.2159,FDD09,OUT010
621,218.44412,FDS33,OUT010
622,1974.1511,FDU22,OUT045
623,2626.146,FDI53,OUT013
624,2933.805,DRH01,OUT049
625,2169.2625,FDX32,OUT013
626,461.68698,NCP30,OUT018
627,3105.4001,FDB60,OUT045
628,1529.5857,FDB14,OUT049
629,949.6104,NCP02,OUT035
630,2133.2913,FDJ10,OUT017
631,1791.6455,FDG34,OUT046
632,1421.5939,NCB18,OUT017
633,1182.0225,FDM16,OUT049
634,1211.651,FDW25,OUT018
635,255.61475,FDB35,OUT010
636,2131.5242,DRN11,OUT013
637,309.86594,FDF41,OUT019
638,1314.28,FDH16,OUT045
639,3114.532,NCQ50,OUT018
640,750.55585,DRH23,OUT018
641,2481.742,DRJ37,OUT013
642,5170.194,DRJ24,OUT027
643,3195.3083,FDY16,OUT035
644,1751.26,FDQ27,OUT045
645,2413.4062,FDZ33,OUT045
646,2103.2214,FDF29,OUT045
647,2601.9758,FDA08,OUT049
648,1043.9288,FDG31,OUT046
649,586.0931,FDE34,OUT019
650,1997.6316,NCR30,OUT027
651,4240.135,FDV33,OUT035
652,1719.3024,DRZ24,OUT018
653,2919.3643,NCL54,OUT035
654,2913.3984,FDR12,OUT049
655,3786.9392,NCC54,OUT046
656,793.4284,DRN59,OUT013
657,315.33987,FDX50,OUT019
658,4714.7573,FDV31,OUT027
659,4678.631,NCA29,OUT027
660,2955.2456,FDW60,OUT049
661,3325.3162,FDX08,OUT017
662,3933.6567,DRD49,OUT013
663,3802.9902,FDD33,OUT046
664,689.25226,FDW35,OUT013
665,1668.386,FDJ36,OUT017
666,2821.8088,FDV51,OUT035
667,1598.1262,FDW36,OUT046
668,2498.3535,FDH35,OUT046
669,3314.4905,NCS30,OUT027
670,688.29315,FDN49,OUT017
671,3308.674,FDL08,OUT018
672,4015.0193,FDI09,OUT013
673,1850.3501,FDP19,OUT018
674,-27.589401,FDU21,OUT010
675,1614.5985,NCP41,OUT045
676,1901.1176,FDY10,OUT013
677,414.65927,FDP12,OUT018
678,1923.987,NCN26,OUT049
679,2889.6067,FDK44,OUT013
680,1675.5225,FDC28,OUT049
681,5969.5264,FDJ41,OUT027
682,2104.6802,NCT29,OUT035
683,591.1402,NCH42,OUT019
684,2377.649,FDU60,OUT018
685,3097.3904,FDS02,OUT045
686,1992.6129,FDC51,OUT046
687,3144.6792,FDU03,OUT013
688,3360.2078,FDX39,OUT045
689,12.568473,NCY05,OUT010
690,6021.942,NCL06,OUT027
691,1409.9331,FDD32,OUT035
692,2013.2628,NCN41,OUT045
693,2160.7664,NCX53,OUT049
694,388.3318,FDU57,OUT019
695,1629.7025,FDQ23,OUT046
696,4088.0012,FDQ52,OUT045
697,659.9495,FDC14,OUT045
698,2978.8333,FDY09,OUT035
699,2463.4446,FDQ28,OUT045
700,3689.6538,FDV25,OUT046
701,1966.8065,FDJ07,OUT035
702,1678.785,DRB25,OUT049
703,588.7341,FDK52,OUT019
704,1847.1099,FDY52,OUT027
705,3098.2083,FDB28,OUT046
706,659.30225,FDT36,OUT035
707,3849.5647,FDV25,OUT017
708,3364.591,NCN07,OUT027
709,3212.876,FDC57,OUT017
710,3339.2644,FDQ03,OUT018
711,2844.004,FDU23,OUT017
712,3656.8062,NCX41,OUT035
713,804.4582,NCD06,OUT035
714,1608.8448,FDW08,OUT045
715,2564.8433,NCU29,OUT017
716,2531.4763,NCE06,OUT013
717,218.50085,FDV52,OUT010
718,2934.6028,FDB02,OUT017
719,628.81146,NCR18,OUT045
720,1550.1277,FDK16,OUT049
721,677.2167,NCQ29,OUT010
722,332.1716,FDZ01,OUT019
723,2602.7346,FDW27,OUT035
724,3345.929,FDD17,OUT018
725,2929.6248,FDW39,OUT013
726,1063.2384,DRH59,OUT045
727,1671.039,FDS52,OUT013
728,5390.8745,FDU40,OUT027
729,2859.4602,NCF54,OUT013
730,1627.8146,FDH46,OUT045
731,1683.9113,NCP14,OUT049
732,3341.9556,FDH50,OUT049
733,324.37112,DRF15,OUT010
734,2424.3103,FDV27,OUT027
735,2033.746,NCJ06,OUT049
736,3096.7014,FDN02,OUT018
737,819.2129,FDQ51,OUT049
738,3857.717,FDQ07,OUT017
739,1903.1708,FDS45,OUT049
740,1993.3556,NCJ06,OUT045
741,1992.6072,FDD36,OUT035
742,3173.1353,FDY25,OUT045
743,2418.8408,FDU52,OUT046
744,3970.682,DRK47,OUT017
745,2109.5293,NCL30,OUT017
746,3928.0056,FDN22,OUT035
747,3270.682,NCF30,OUT027
748,4286.569,FDK03,OUT035
749,944.974,FDT45,OUT017
750,6074.4585,NCC54,OUT027
751,2946.9478,FDP08,OUT018
752,2605.6309,FDU44,OUT046
753,945.1073,DRG39,OUT035
754,2080.1665,FDU32,OUT049
755,2973.7378,FDY27,OUT049
756,2086.1636,NCP54,OUT013
757,2060.468,NCZ41,OUT049
758,2149.697,DRL49,OUT013
759,1190.2017,FDI05,OUT018
760,3839.481,FDY56,OUT045
761,2064.1736,DRC13,OUT013
762,3019.3286,NCV29,OUT017
763,1459.9907,FDR24,OUT049
764,2797.8518,FDZ34,OUT018
765,2087.3992,FDP37,OUT035
766,4814.2695,FDX08,OUT027
767,2103.09,FDS57,OUT045
768,1747.4629,NCG18,OUT049
769,2463.7234,FDK25,OUT018
770,1300.4558,FDH53,OUT049
771,3282.1218,DRI59,OUT018
772,2842.0203,FDA52,OUT046
773,51.290924,FDT20,OUT010
774,410.9655,FDE36,OUT019
775,2909.0269,FDI24,OUT017
776,2923.809,FDB28,OUT018
777,2866.7087,FDV11,OUT017
778,2359.7905,FDP01,OUT046
779,4110.8896,FDD34,OUT027
780,1373.3691,FDJ50,OUT027
781,1901.2833,FDZ44,OUT013
782,1137.9042,DRO59,OUT035
783,626.34314,DRB48,OUT045
784,2525.7197,FDR21,OUT018
785,568.1897,NCE42,OUT010
786,1451.5088,FDO23,OUT046
787,3269.4297,NCE30,OUT018
